iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.5897339483102162,0.4466146230697632,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
1,1.2003592203060787,0.5350561738014221,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
2,1.1044553965330124,0.560396671295166,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
3,1.0267116303245227,0.5926482081413269,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
4,0.9656960715850195,0.6018630266189575,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
5,0.8821882456541061,0.6146835088729858,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
6,0.8293472652633985,0.6264023184776306,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
7,0.7685028736790022,0.6332132816314697,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
8,0.7272100523114204,0.6409255862236023,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
9,0.6769442160924276,0.6465345025062561,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
10,0.6485256031155586,0.6495393514633179,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
11,0.599175197382768,0.6553485989570618,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
12,0.5656270806988081,0.6608574390411377,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
13,0.534653015434742,0.6634615659713745,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
14,0.5039954595267773,0.6625601053237915,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
15,0.4749684768418471,0.6669671535491943,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
16,0.4507296644151211,0.668569803237915,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
17,0.42098987350861233,0.6721755862236023,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
18,0.3973635782798131,0.6730769872665405,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
19,0.3777078688144684,0.6737780570983887,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
20,0.3567974219719569,0.6762821078300476,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
21,0.3330346941947937,0.6760818362236023,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
22,0.31423677193621796,0.6773838996887207,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
23,0.29596486936012906,0.6789863109588623,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
24,0.27885748880604905,0.6782853007316589,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
25,0.2634679712355137,0.678485631942749,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
26,0.24691851188739142,0.679086446762085,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
27,0.23240245009462038,0.6813902854919434,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
28,0.21780220791697502,0.6831929683685303,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
29,0.20212548412382603,0.6822916269302368,24,1,500,1000,2,"(3, 32, 32)",10,0.03,0.99,23,30,10,3
