iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.25098725159963,0.19350001215934753,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
1,1.9264361063639324,0.3021667003631592,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
2,1.843054433663686,0.2998333275318146,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
3,1.7007901569207509,0.35200005769729614,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
4,1.5427055358886719,0.3784167170524597,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
5,1.4810882210731506,0.37266668677330017,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
6,1.310670405626297,0.4085000455379486,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
7,1.2385164697964985,0.40391668677330017,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
8,1.147380645076434,0.41441673040390015,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
9,1.0226660619179408,0.43650004267692566,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
10,0.9565531959136327,0.43641671538352966,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
11,0.9186941832304001,0.4361667335033417,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
12,0.8254334131876627,0.44450005888938904,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
13,0.7568217863639196,0.45466670393943787,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
14,0.737909197807312,0.4502499997615814,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
15,0.6698987086613973,0.46008336544036865,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
16,0.638201430439949,0.4555834233760834,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
17,0.5880268265803655,0.4595000147819519,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
18,0.5378327891230583,0.45866674184799194,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
19,0.49714039514462155,0.4635000228881836,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
20,0.46177585422992706,0.46233341097831726,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
21,0.43224383642276126,0.4648333489894867,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
22,0.39746881773074466,0.4671667218208313,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
23,0.36576782166957855,0.4672500491142273,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
24,0.3465814416607221,0.468500018119812,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
25,0.31366734206676483,0.4700000286102295,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
26,0.28345610325535137,0.4683334231376648,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
27,0.2674168832600117,0.46925005316734314,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
28,0.24250064541896185,0.47300001978874207,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
29,0.22032268717885017,0.46991676092147827,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
30,0.20153249303499857,0.471083402633667,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
31,0.1845286786556244,0.4735000729560852,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
32,0.17929359649618468,0.47058337926864624,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
33,0.1651981951047977,0.46791669726371765,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
34,0.1441134326159954,0.4747501015663147,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
35,0.13719922800858816,0.4724167287349701,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
36,0.12646781963606676,0.47216665744781494,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
37,0.11819223128259182,0.47308337688446045,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
38,0.1067931813498338,0.47533339262008667,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
39,0.10026657395064831,0.47475001215934753,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
40,0.09304544081290562,0.47300004959106445,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
41,0.08848841798802216,0.47341668605804443,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
42,0.08141738083213568,0.47575002908706665,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
43,0.07754031755030155,0.47466668486595154,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
44,0.07489234271148841,0.47558337450027466,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
45,0.06907794872919719,0.47666674852371216,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
46,0.06576185176769893,0.4749166667461395,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
47,0.060839186112085976,0.4773333668708801,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
48,0.058468999030689396,0.4764167070388794,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
49,0.05646966863423586,0.47425001859664917,12,4,9,"(3, 32, 32)",10,0.05,0.98,11,50,5
